2021-12-05 14:45:53,566 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Using Server GC:True
2021-12-05 14:45:53,594 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Using GC LatencyMode:Interactive
2021-12-05 14:45:53,594 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=6f495a74-6196-4f38-9e0d-47f2495aee32
2021-12-05 14:45:53,621 [1] INFO  Photon.Hive.Plugin.PluginManager - Plugin configured: name=MyFirstPlugin
2021-12-05 14:45:53,625 [1] DEBUG Photon.Hive.Plugin.PluginManager - Plugin path is set to 'C:\Users\jiaaa\Desktop\Photon\deploy\Plugins/MyFirstPlugin//bin/MyFirstPlugin.dll'
2021-12-05 14:45:53,639 [1] INFO  Photon.Hive.Plugin.PluginManager - Loaded Assembly Name=MyFirstPlugin, Version=1.0.0.0, Culture=, PublicKey token=, Path=C:\Users\jiaaa\Desktop\Photon\deploy\Plugins/MyFirstPlugin//bin/MyFirstPlugin.dll
2021-12-05 14:45:53,640 [1] INFO  Photon.Hive.Plugin.PluginManager - Referenced Assembly Name=mscorlib, Version=4.0.0.0, Culture=, PublicKey token=B7-7A-5C-56-19-34-E0-89, Path=
2021-12-05 14:45:53,640 [1] INFO  Photon.Hive.Plugin.PluginManager - Referenced Assembly Name=PhotonHivePlugin, Version=1.1.0.24499, Culture=, PublicKey token=, Path=
2021-12-05 14:45:53,641 [1] INFO  Photon.Hive.Plugin.PluginManager - Plugin Type MyFirstPlugin.MyPluginFactory from assembly MyFirstPlugin, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null was successfuly created
2021-12-05 14:45:53,642 [1] INFO  Photon.Hive.Plugin.PluginManager - Plugin manager (version=1.1.0.24499) is setup. type=MyFirstPlugin.MyPluginFactory;path=C:\Users\jiaaa\Desktop\Photon\deploy\Plugins/MyFirstPlugin//bin/MyFirstPlugin.dll;version=1.1.0.24499
2021-12-05 14:45:58,730 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - PerformanceCounter category 'Photon: Http Queue Counters' does not exists and will be created
2021-12-05 14:45:59,439 [1] INFO  Photon.SocketServer.Diagnostics.EncryptionQueuePerfCounters - PerformanceCounter category 'Photon: Encryption Queue Counters' does not exists and will be created
2021-12-05 14:46:00,157 [1] INFO  Photon.SocketServer.Diagnostics.ManagedCorePerformanceCounters - PerformanceCounter category 'Photon Managed Core' does not exists and will be created
2021-12-05 14:46:00,816 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator initialized with an expiration of 01:00:00
2021-12-05 14:46:00,832 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Bandwidth counters are not valid
